Code,Constituent Fund,Launch Date,Cumulative Return: 6month,Cumulative Return: 1year,Cumulative Return: 3years,Cumulative Return:5years, Calendar Year Return:2017, Calendar Year Return:2018, Calendar Year Return:2019, Calendar Year Return:2020, Calendar Year Return:2021,Risk level
SHK137,Manulife MPF Healthcare Fund,4/2/2008,4.34,2.54,24.66,40.3,14.47,-1.7,17.04,7.25,18.86,5
SHK128,Manulife MPF Pacific Asia Equity Fund,12/1/2000,-5.88,-13.89,9.66,7.57,35.48,-13.25,15.03,23.16,1.06,6
SHK136,Manulife MPF China Value Fund,2/1/2006,-14.6,-31.09,-17.85,-19.53,38.17,-14.45,19.94,22.67,-10.44,6
SHK126,Manulife MPF Hong Kong Equity Fund,12/1/2000,-13.98,-28.76,-20.53,-27.88,46.05,-17.98,14.4,21.11,-15.79,6
SHK145,Manulife MPF Hang Seng Index Tracking Fund,4/23/2012,-11.06,-18.86,-24.73,-28.76,39.2,-11.18,12.08,-1.59,-12.64,6
SHK131,Manulife MPF Japan Equity Fund,12/1/2000,-2.05,-10.22,4.01,3.46,22.88,-17.39,20.91,4.61,9.64,6
SHK129,Manulife MPF European Equity Fund,12/1/2000,-3.93,-26.68,13.68,23.27,16.33,-15.43,29.55,22.23,27.29,6
SHK130,"
Manulife MPF North American Equity Fund",12/1/2000,-5.91,-25.75,16.17,26.23,18.8,-15.05,29.77,26.1,23.04,6
SHK127,"
Manulife MPF International Equity Fund",12/1/2000,-5.63,-23.36,8.1,16.32,21.61,-11.85,23.77,19.6,16.98,6
SHK124,Manulife MPF Aggressive Fund,12/1/2000,-7.68,-22.42,-2.62,-2.12,27.98,-13.48,18.31,17.27,4.31,6
SHK134,Manulife MPF Fidelity Growth Fund,9/1/2003,-8.1,-19.43,-4.36,-2.33,27.72,-12.68,19.59,14.44,1.04,5
SHK123,Manulife MPF Growth Fund,12/1/2000,-7.35,-20.52,-4.39,-4.04,23.2,-11.39,14.78,15.14,2.38,5
SHK135,Manulife MPF Fidelity Stable Growth Fund,9/1/2003,-7.46,-18.47,-8.37,-5.77,17.42,-7.64,12.6,12.21,-1.57,4
SHK144,Manulife MPF 2045 Retirement Fund,2/21/2011,-7.36,-21.72,-0.04,1.64,27.94,-13.12,19.25,18.11,5.26,6
SHK143,Manulife MPF 2040 Retirement Fund,2/21/2011,-7.49,-21.78,-0.4,1.11,27.81,-13.29,19.27,18,5.1,6
SHK142,Manulife MPF 2035 Retirement Fund,2/21/2011,-7.35,-21.22,-0.55,0.84,27.45,-13.12,18.75,17.6,4.63,6
SHK141,Manulife MPF 2030 Retirement Fund,2/21/2011,-7.2,-20.33,-1.6,-0.4,26.51,-12.61,17.49,16.39,3.57,5
SHK140,Manulife MPF 2025 Retirement Fund,2/21/2011,-6.77,-18.48,-3.73,-2.78,23.56,-11.38,15.05,13.7,1.84,5
SHK138,Manulife MPF Smart Retirement Fund,2/21/2011,-6.6,-18.02,-4.69,-3.4,18.43,-9.04,12.36,12.97,1.41,5
SHK148/ DIS148,Manulife MPF Core Accumulation Fund,4/1/2017,-3.53,-11.79,8.02,18.79,9.52,-5.58,17.09,12.17,9.79,5
SHK149/ DIS149,Manulife MPF Age 65 Plus Fund,4/1/2017,-4.07,-12.8,-4.54,3.62,3.24,-1.38,9.88,8.29,1.05,4
SHK147,Manulife MPF RMB Bond Fund,12/16/2013,-4.36,-7.73,2.19,6.76,6.68,0.28,3.52,7.81,2.81,3
SHK146,Manulife MPF Pacific Asia Bond Fund,4/23/2012,-5.59,-11.91,-5.62,-2.28,7.46,-2.76,6.44,9.98,-2.7,4
SHK133,Manulife MPF International Bond Fund,12/1/2000,-6.26,16.03,-13.94,-13.06,4.6,-2.31,3.4,7.36,-5.05,4
SHK132,Manulife MPF Hong Kong Bond Fund,12/1/2000,-4.51,-10.34,-6.4,-0.71,3.25,0.68,4.43,6.99,-1.54,3
SHK125,Manulife MPF Conservative Fund,12/1/2000,0.25,0.25,1.26,3.6,0.19,0.92,1.5,0.85,0.01,1
SHK122,Manulife MPF Stable Fund,12/1/2000,-6.54,-16.22,-9.45,-7.49,11.49,-5.59,8.2,9.03,-1.72,4
DHK121,Manulife MPF Interest Fund,12/1/2000,0.13,0.35,1.36,2.38,0.09,0.5,0.5,0.5,0.5,1
