每月摘要 Monthly Fund Summary,,,,,,,,,,,,,,,,,
"截至 2022 年 11 月 30 日 As at November 30, 2022",,,,,,,,,,,,,,,,,
,"編號
Code","成分基金
Constituent Fund",推出日期,"基金價格
（港元）
Fund Price (HK$)",基金表現 1     Fund Performance1,,,,,,,,,,,,
,,,(月/日/年),,累積回報  Cumulative Return (%),,,,,,,曆年回報  Calendar Year Return (%),,,,,
,,,Launch Date (M/D/YYYY),,"六個月
6 Months","年初至今
YTD","一年
1 Year","三年
3 Years","五年
5 Years","十年
10 Years","推出至今
Since
Launch",2017,2018,2019,,2020,2021
,股票基金  Equity Funds,,,,,,,,,,,,,,,,
,SHK137,"宏利 MPF 康健護理基金
Manulife MPF Healthcare Fund",4/2/2008,28.508,4.34,-4.51,2.54,24.66,40.30,137.17,185.08,14.47,-1.70,,17.04,7.25,18.86
,SHK128,"宏利 MPF 亞太股票基金
Manulife MPF Pacific Asia Equity Fund",12/1/2000,27.260,-5.88,-15.72,-13.89,9.66,7.57,48.73,172.60,35.48,-13.25,,15.03,23.16,1.06
,SHK136,"宏利 MPF 中華威力基金
Manulife MPF China Value Fund",2/1/2006,21.486,-14.60,-30.06,-31.09,-17.85,-19.53,17.83,114.86,38.17,-14.45,,19.94,22.67,-10.44
,SHK126,"宏利 MPF 香港股票基金
Manulife MPF Hong Kong Equity Fund",12/1/2000,18.098,-13.98,-26.80,-28.76,-20.53,-27.88,11.67,80.98,46.05,-17.98,,14.40,21.11,-15.79
,SHK145,"宏利 MPF 恒指基金
Manulife MPF Hang Seng Index Tracking Fund",4/23/2012,11.546,-11.06,-18.42,-18.86,-24.73,-28.76,5.83,15.46,39.20,-11.18,,12.08,-1.59,-12.64
,SHK131,"宏利 MPF 日本股票基金
Manulife MPF Japan Equity Fund",12/1/2000,13.800,-2.05,-11.47,-10.22,4.01,3.46,111.98,38.00,22.88,-17.39,,20.91,4.61,9.64
,SHK129,"宏利 MPF 歐洲股票基金
Manulife MPF European Equity Fund",12/1/2000,13.395,-3.93,-29.40,-26.68,13.68,23.27,68.45,33.95,16.33,-15.43,,29.55,22.23,27.29
,SHK130,"宏利 MPF 北美股票基金
Manulife MPF North American Equity Fund",12/1/2000,20.880,-5.91,-26.51,-25.75,16.17,26.23,137.27,108.80,18.80,-15.05,,29.77,26.10,23.04
